react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C102163,C[C@H]1CC[C@H]2C[CH+]CC[C@@H]12,-390.8163370774087,-11.101182153200126,0.4302849749274259
C97171,CC[C+]1CCCC2CC1C2,-390.8163363341275,-11.100715737191438,0.4302910603436274
C13509,CC1(C)CC[C@@H]2[CH+]CC[C@@H]21,-390.8163362877417,-11.10068662964784,0.4302914401151491
C22953,C[C+]1CC(C(C)C)=C[C@H]1C,-390.81633494759217,-11.09984567308132,0.4303024122314985
C22929,C[C+]1CC(C(C)C)=C[C@@H]1C,-390.81633206641766,-11.098037708705364,0.4303260010781506
C109320,[CH+]1CCCC2(C1)CCCC2,-390.8163308753669,-11.097290313022723,0.4303357524882892
C29399,[CH2+]C1=C[C@@H](C)C[C@H](CC)C1,-390.8163295413801,-11.09645322366732,0.4303466741484178
C64743,CC/C=C1\C[C+](C)[C@H](C)C1,-390.816327926721,-11.095440009717322,0.430359893738809
C64746,CC/C=C1\C[C+](C)[C@@H](C)C1,-390.8163278859992,-11.095414456418146,0.4303602271374444
C38896,CC[C+](C)[C@@H]1C=CC[C@H]1C,-390.8163200054654,-11.090469346584262,0.4304247469029332
C39716,CC[C+](C)[C@H]1C=CC[C@@H]1C,-390.8163197672562,-11.09031986803272,0.4304266971773285
C4895,C[C+](C(C)C)C1CC=CC1,-390.81631720564064,-11.088712429951512,0.4304476697202085
C37543,C[C+]1CC[C@@]2(C)CC[C@H]2C1,-390.8163135669737,-11.086429131870842,0.4304774603338964
C55880,C[C+]1CC[C@]2(C)CC[C@@H]2C1,-390.8163130801032,-11.086123616021643,0.4304814464558645
C77486,CCC1=CC[C+](CC)[C@@H]1C,-390.81630297176,-11.079780534640634,0.4305642058154999
C77483,CCC1=CC[C+](CC)[C@H]1C,-390.81630262855833,-11.079565172319072,0.4305670156876663
C94657,C[C@H]1[CH+]CC2(CCCC2)C1,-390.8162948608318,-11.074690850137296,0.4306306118735246
